1 pikoliterhány femtoliter;1000;1000000;10
340 tonna hány kg?;340000;3400000;34000
5 szénarakás meg 7 szénarakás összehordva hány szénarakás?;1;12;7
A magyar érmék a réz, a nikkel és a cink ötvözetéből készülnek. Melyik az egyetlen érme, amelyben acél is van?;100;200;50
Árpád fejedelemnek hány vezére volt?;7;12;5
Átmérőt tekintve hány kisebb érme van a 100 forintos érménél?;1;2;3
Az 1848-as forradalom hanyadik évfordulóján adtak át először Kossuth-díjat?;100;50;56
Az alapszínek hány tartományra tagolják a színkört?;7;3;5
Egy futó hét napon át napi 10 km-t fut. Hány métert fut egy hét alatt összesen?;70000;70;700
Egy kiló vas hány kiló toll?;1;10;5
Egy kilogramm hány milligramm;1000000;1000;10000
Ha egy futóversenyen megelőzöd a másodikat, hányadik helyen végzel?;2;1;3
Ha másfél tégla 15 Ft, akkor mennyibe kerül 8 tégla?;80;120;50
Ha minden forgalomban lévő magyar érméből és papírpénzből egy darab van nálunk, akkor hány forintunk van összesen?;38885;36555;39465
Hány 9-es van 1-től 100-ig?;20;10;19
Hány 9-es van 1-től 100-ig? (nem számjegy);1;10;11
Hány alapszín van?;3;7;15
Hány állatot vihetett fel egy állatfajból Mózes a bárkára?;2;1;4
Hány aradi vértanu volt?;13;12;11
Hány betűből áll a CSOKI szó?;4;5;3
Hány cm magas a Batthyány-örökmécses?;180;320;560
Hány darab egy tucat?;12;24;10
Hány élete van egy macskának;1;9;7
Hány európai ország kapott segélyt a Marshall-terv nemzetközi segélyprogram keretében?;17;12;7
Hány évesen halt meg Bornemissza Gergely?;29;41;35
Hány évig szolgáltatott áramot az Inotai hőerőmű?;50;30;60
Hány évig tartott valójában a százéves háború?;116;106;102
Hány évig uralkodott I. Ferenc József?;68;34;42
Hány évig uralkodott Viktória királynő?;64;46;54
Hány felesége volt Julius Caesarnak?;3;1;6
Hány festményt loptak el 1983-ban a Szépművészeti Múzeumból?;7;13;22
Hány foga van egy felnőtt embernek?;32;31;33
Hány fokos a derékszög?;90;180;360
Hány forgalomban lévő érménk oldala sima, azaz nincs recézve?;2;1;0
Hány gyermeke született Mária Terézia magyar királynőnek?;16;12;6
Hány gyermeke van II. Erzsébet brit királynőnek?;4;2;5
Hány hónap van egy évben?;12;31;365
Hány hozzávaló kell egy egyszerű piskótához?;3;5;7
Hány IKEA áruház van a világon;422;56;208
